OTHER	1E5	PcRebarManager	0			1/0/0;0/1/0;0/0/1
BOLT	3F0	624.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F1	624.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F2	724.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F3	724.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F4	824.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F5	824.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F6	924.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F7	924.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F8	1024.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3F9	1024.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3FA	1124.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3FB	1124.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
